code,name,country,exchange,currency,type,market
PSSA3,Porto Seguro S.A,Brazil,SA,BRL,Common Stock,sa_stocks
PSVM11,Porto Sudeste do Brasil S.A. VAR INCOME UNDATED ROYALTIES BASED,Brazil,SA,BRL,ETF,sa_etf
PSX,Phillips 66,Energy,NYSE,USD,Common Stock,us_500
PTBL3,PBG S.A,Brazil,SA,BRL,Common Stock,sa_stocks
PTNT3,Pettenati S.A. Industria Têxtil,Brazil,SA,BRL,Common Stock,sa_stocks
PTNT4,Pettenati S.A. Industria Têxtil,Brazil,SA,BRL,Preferred Stock,sa_stocks
PTON,"Peloton Interactive, Inc. Class A Common Stock",US,Nasdaq,USD,Define Stock,us_tech_100
PVH,PVH Corp.,Consumer Discretionary,NYSE,USD,Common Stock,us_500
PWR,Quanta Services Inc.,Industrials,NYSE,USD,Common Stock,us_500
PXD,Pioneer Natural Resources,Energy,NYSE,USD,Common Stock,us_500
PYPL,PayPal,Information Technology,NYSE,USD,Common Stock,us_500
PYPL,"PayPal Holdings, Inc. Common Stock",US,Nasdaq,USD,Define Stock,us_tech_100
PYPL34,"PayPal Holdings, Inc",Brazil,SA,BRL,Preferred Stock,sa_bdr
QAGR11,Quasar Agro - Fundo De Investimento Imobiliario,Brazil,SA,BRL,ETF,sa_etf
QCOM,Qualcomm,Information Technology,NYSE,USD,Common Stock,us_500
QCOM,QUALCOMM Incorporated Common Stock,US,Nasdaq,USD,Define Stock,us_tech_100
QRVO,Qorvo,Information Technology,NYSE,USD,Common Stock,us_500
QUAL3,Qualicorp Consultoria e Corretora de Seguros S.A,Brazil,SA,BRL,Common Stock,sa_stocks
RADL3,Raia Drogasil S.A,Brazil,SA,BRL,Common Stock,sa_stocks
RAIL3,Rumo S.A,Brazil,SA,BRL,Common Stock,sa_stocks
RANI3,Irani Papel e Embalagem S.A,Brazil,SA,BRL,Common Stock,sa_stocks
RAPT3,Randon S.A. Implementos e Participações,Brazil,SA,BRL,Common Stock,sa_stocks
RAPT4,Randon S.A. Implementos e Participações,Brazil,SA,BRL,Preferred Stock,sa_stocks
RBBV11,JHSF Rio Bravo Fazenda Boa Vista Capital Protegido Fundo de Investimento Imobiliário - FII,Brazil,SA,BRL,ETF,sa_etf
RBCB11,Rio Bravo Credito Imobiliario I Fundo de Investimento Imobiliario,Brazil,SA,BRL,ETF,sa_etf
RBCO11,RB Capital Office Income Fundo De Investimento Imobiliario,Brazil,SA,BRL,ETF,sa_etf
RBDS11,RB Capital Development Residential Real Estate Investment Fund II,Brazil,SA,BRL,ETF,sa_etf
RBED11,Aesapar Fundo de Investimento Imobiliário - FII,Brazil,SA,BRL,ETF,sa_etf
RBFF11,Fator IFIX Fundo Investimento Imobiliario - FII - Cotas Fund,Brazil,SA,BRL,ETF,sa_etf
RBGS11,RB Capital General Shopping Sulacap Real Estate Investment Fund,Brazil,SA,BRL,ETF,sa_etf
RBIV11,Rio Bravo Credito Imobiliario IV Fundo De Investimento Imobiliario - FII,Brazil,SA,BRL,ETF,sa_etf
RBRD11,RB Capital Renda II Fundo de Investimento Imobiliário - FII,Brazil,SA,BRL,ETF,sa_etf
RBRF11,Fundo Investimento Imobiliario Rbr Alpha Fundos De Fundos,Brazil,SA,BRL,ETF,sa_etf
RBRP11,Fundo Investimento Imobiliario Rbr Properties Fii,Brazil,SA,BRL,ETF,sa_etf
RBRR11,Fundo Investimento Imobiliario - FII RBR Rendimento High Grade,Brazil,SA,BRL,ETF,sa_etf
RBRY11,Fundo Investimeto Imobiliario Rbr Private Credito Imobiliario,Brazil,SA,BRL,ETF,sa_etf
RBVA11,Fundo Invest Imobiliario Agencias Caixa - FII Fund,Brazil,SA,BRL,ETF,sa_etf
RCFA11,Grupo Rcfa Fundo De Investimento,Brazil,SA,BRL,ETF,sa_etf
RCL,Royal Caribbean Group,Consumer Discretionary,NYSE,USD,Common Stock,us_500
RCRB11,Fundo de Investimento Imobiliário Rio Bravo Renda Corporativa,Brazil,SA,BRL,ETF,sa_etf
RCSL3,Recrusul S/A,Brazil,SA,BRL,Common Stock,sa_stocks
RCSL4,Recrusul S/A,Brazil,SA,BRL,Preferred Stock,sa_stocks
RDNI3,RNI Negócios Imobiliários S.A,Brazil,SA,BRL,Common Stock,sa_stocks
RDOR3,Rede D'Or São Luiz S.A,Brazil,SA,BRL,Common Stock,sa_stocks
RDPD11,Bb Renda Papeis Imobiliarios II Fundo Investimento Imobiliario,Brazil,SA,BRL,ETF,sa_etf
RDSA34,Royal Dutch Shell plc,Brazil,SA,BRL,Preferred Stock,sa_bdr
RE,Everest Re Group Ltd.,Financials,NYSE,USD,Common Stock,us_500
RECR11,Fundo Investimento Imobiliario Fii Ubs (Br) Recebveis Imobiliarios,Brazil,SA,BRL,ETF,sa_etf
RECT11,Fundo De Investimento Imobiliario - FII UBS Office,Brazil,SA,BRL,ETF,sa_etf
REDE3,Rede Energia Participações S.A,Brazil,SA,BRL,Common Stock,sa_stocks
REG,Regency Centers Corporation,Real Estate,NYSE,USD,Common Stock,us_500
REGN,Regeneron Pharmaceuticals,Health Care,NYSE,USD,Common Stock,us_500
REGN,"Regeneron Pharmaceuticals, Inc. Common Stock",US,Nasdaq,USD,Define Stock,us_tech_100
RENT3,Localiza Rent a Car S.A,Brazil,SA,BRL,Common Stock,sa_stocks
RF,Regions Financial Corp.,Financials,NYSE,USD,Common Stock,us_500
